year,number_of_households,cid,income_quartile
2043,152077,2,2
2043,163660,2,3
2043,122640,2,4
2043,31897,3,1
2043,37714,3,2
2043,37996,3,3
2043,23213,3,4
2043,75970,4,1
2043,96297,4,2
2043,110699,4,3
2043,80718,4,4
2044,24178,1,1
2044,41356,1,2
2044,57154,1,3
2044,49767,1,4
2044,129283,2,1
2044,153515,2,2
2044,165207,2,3
2044,123799,2,4
2044,32199,3,1
2044,38072,3,2
2044,38356,3,3
2044,23433,3,4
2044,77632,4,1
2044,98404,4,2
2044,113121,4,3
2044,82484,4,4
2045,24417,1,1
2045,41766,1,2
2045,57719,1,3
2045,50260,1,4
2045,130467,2,1
2045,154920,2,2
2045,166720,2,3
2045,124932,2,4
2045,32492,3,1
2045,38419,3,2
2045,38705,3,3
2045,23647,3,4
2045,79288,4,1
2045,100502,4,2
2045,115534,4,3
2045,84244,4,4
2046,24646,1,1
2046,42157,1,2
2046,58261,1,3
2046,50731,1,4
2046,131651,2,1
2046,156326,2,2
2046,168233,2,3
2046,126066,2,4
2046,32777,3,1
2046,38756,3,2
2046,39045,3,3
2046,23854,3,4
2046,80917,4,1
2046,102567,4,2
2046,117908,4,3
2046,85975,4,4
2047,24867,1,1
2047,42536,1,2
2047,58784,1,3
2047,51187,1,4
2047,132824,2,1
2047,157719,2,2
2047,169732,2,3
2047,127189,2,4
2047,33055,3,1
2047,39084,3,2
2047,39375,3,3
2047,24056,3,4
2047,82545,4,1
2047,104631,4,2
2047,120280,4,3
2047,87704,4,4
2048,25093,1,1
2048,42922,1,2
2048,59318,1,3
2048,51652,1,4
2048,134011,2,1
2048,159128,2,2
2048,171248,2,3
2048,128326,2,4
2048,33325,3,1
2048,39403,3,2
2048,39697,3,3
2048,24252,3,4
2048,84167,4,1
2048,106687,4,2
2048,122643,4,3
2048,89428,4,4
2049,25314,1,1
2049,43300,1,2
2049,59840,1,3
2049,52107,1,4
2049,135227,2,1
2049,160572,2,2
2049,172803,2,3
2049,129490,2,4
2049,33592,3,1
2049,39719,3,2
2049,40015,3,3
2049,24447,3,4
2049,85811,4,1
2049,108770,4,2
2049,125038,4,3
2049,91174,4,4
2050,25537,1,1
2050,43681,1,2
2050,60366,1,3
2050,52564,1,4
2050,136448,2,1
2050,162022,2,2
2050,174362,2,3
2050,130659,2,4
2050,33861,3,1
2050,40037,3,2
2050,40335,3,3
2050,24642,3,4
2050,87474,4,1
2050,110878,4,2
2050,127462,4,3
2050,92941,4,4
2051,25762,1,1
2051,44066,1,2
2051,60899,1,3
2051,53029,1,4
2051,137748,2,1
2051,163566,2,2
2051,176025,2,3
2051,131905,2,4
2051,34123,3,1
2051,40347,3,2
2051,40648,3,3
2051,24833,3,4
2051,89051,4,1
2051,112878,4,2
2051,129760,4,3
2051,94617,4,4
2052,25989,1,1
2052,44454,1,2
2052,61434,1,3
2052,53495,1,4
2052,139039,2,1
2052,165099,2,2
2052,177674,2,3
2052,133141,2,4
2052,34382,3,1
2052,40653,3,2
2052,40957,3,3
2052,25022,3,4
2052,90665,4,1
2052,114923,4,2
2052,132111,4,3
2052,96331,4,4
2053,26225,1,1
2053,44858,1,2
2053,61993,1,3
2053,53981,1,4
2053,140349,2,1
2053,166655,2,2
2053,179348,2,3
2053,134395,2,4
2053,34649,3,1
2053,40968,3,2
2053,41274,3,3
2053,25216,3,4
2053,92308,4,1
2053,117005,4,2
2053,134505,4,3
2053,98077,4,4
2054,26467,1,1
2054,45272,1,2
2054,62566,1,3
2054,54480,1,4
2054,141684,2,1
2054,168239,2,2
2054,181054,2,3
2054,135673,2,4
2054,34937,3,1
2054,41310,3,2
2054,41618,3,3
2054,25426,3,4
2054,94003,4,1
2054,119155,4,2
2054,136976,4,3
2054,99878,4,4
2055,26718,1,1
2055,45701,1,2
2055,63158,1,3
2055,54995,1,4
2055,143001,2,1
