parcel_id,redev_friction
11661,100
11664,100
11680,100
11694,100
11830,100
12234,100
16717,100
16723,100
16203,100
16215,100
16260,100
16270,100
12762,100
12793,100
12997,100
13038,100
13090,100
13107,100
13165,100
12753,100
12651,100
15852,100
15853,100
15990,100
16089,100
16094,100
16142,100
16035,100
15564,100
17392,100
15844,100
15592,100
15834,100
15755,100
15957,100
17682,100
17685,100
17723,100
17860,100
17871,100
17788,100
17798,100
17593,100
17830,100
17833,100
17752,100
17760,100
18246,100
18218,100
16352,100
16494,100
16609,100
17426,100
16783,100
16797,100
16816,100
16838,100
16922,100
17028,100
17052,100
17075,100
17247,100
17250,100
17252,100
17256,100
17983,100
18045,100
20326,100
20441,100
20234,100
20432,100
20004,100
20377,100
20357,100
20263,100
19686,100
20123,100
19719,100
19874,100
19519,100
19474,100
72602,100
75082,100
73336,100
75163,100
75159,100
76431,100
72959,100
76507,100
76544,100
76605,100
82961,100
82926,100
82999,100
83147,100
82837,100
82843,100
76958,100
82991,100
73448,100
77362,100
73523,100
73875,100
73859,100
74068,100
74121,100
74188,100
74251,100
75700,100
75432,100
75446,100
75454,100
75458,100
75503,100
75513,100
75549,100
75728,100
75932,100
75934,100
76009,100
82211,100
82544,100
82548,100
82293,100
75652,100
75813,100
82539,100
77842,100
77872,100
77877,100
77798,100
78093,100
78095,100
78067,100
78068,100
73402,100
78318,100
78257,100
80411,100
78942,100
79259,100
79282,100
80645,100
80690,100
77339,100
77346,100
77766,100
77724,100
78526,100
77812,100
79523,100
80376,100
79739,100
80605,100
79488,100
78652,100
78606,100
78657,100
78902,100
79095,100
79676,100
84814,100
85408,100
85406,100
20548,100
12012,100
12014,100
18737,100
18583,100
18846,100
18767,100
18666,100
18680,100
17104,100
17139,100
19106,100
19126,100
19070,100
19227,100
74769,100
74859,100
74873,100
74937,100
74535,100
74552,100
74951,100
74578,100
74605,100
74673,100
74688,100
76639,100
76278,100
76104,100
76115,100
76130,100
76155,100
76169,100
76179,100
76233,100
74390,100
75378,100
75258,100
82367,100
82409,100
82434,100
80954,100
80506,100
80883,100
80894,100
18900,100
14212,100
14737,100
15583,100
14266,100
14216,100
15637,100
15205,100
15624,100
20752,100
20819,100
20489,100
20767,100
14578,100
20768,100
73256,100
73200,100
21020,100
77515,100
78385,100
78405,100
78632,100
77446,100
77029,100
77257,100
77237,100
77102,100
77098,100
77139,100
77163,100
77215,100
79361,100
78394,100
14891,100
15113,100
15231,100
15261,100
11858,100
20872,100
75478,100
77897,100
21268,100
15099,100
11557,100
12128,100
12003,100
18791,100
18563,100
18815,100
18694,100
18544,100
18383,100
18670,100
17137,100
17271,100
19107,100
19015,100
19318,100
19340,100
74799,100
75319,100
74887,100
74901,100
73267,100
74567,100
74644,100
74510,100
76661,100
76675,100
76773,100
76775,100
76864,100
76082,100
76112,100
76202,100
76230,100
75342,100
75376,100
82351,100
82379,100
82713,100
82697,100
82304,100
82315,100
80920,100
80514,100
80529,100
80558,100
80911,100
14497,100
14429,100
14176,100
15115,100
14746,100
14884,100
14829,100
14913,100
3157,100
11730,100
11757,100
3307,100
11779,100
3220,100
11588,100
11495,100
11597,100
11653,100
12744,100
12263,100
12110,100
12279,100
12208,100
12711,100
12240,100
11868,100
11839,100
16647,100
16342,100
16227,100
16237,100
16311,100
16313,100
12825,100
12955,100
13153,100
12750,100
13975,100
12678,100
12690,100
13243,100
13268,100
15338,100
15781,100
15178,100
16125,100
16066,100
16079,100
15135,100
15146,100
15147,100
15559,100
15544,100
15923,100
16109,100
18630,100
18707,100
16132,100
15980,100
16164,100
17718,100
17740,100
17850,100
17801,100
17756,100
18879,100
18076,100
18208,100
18009,100
18229,100
18231,100
17513,100
17532,100
17534,100
17412,100
16449,100
16491,100
16493,100
20340,100
20356,100
16535,100
16424,100
16755,100
16795,100
16798,100
16815,100
17000,100
17023,100
17025,100
17069,100
17949,100
17925,100
20363,100
19985,100
20456,100
20283,100
19844,100
19946,100
20206,100
20175,100
19412,100
19695,100
19664,100
19640,100
19780,100
19760,100
19875,100
19448,100
76371,100
76378,100
76433,100
76393,100
76608,100
82880,100
83146,100
83148,100
76826,100
82983,100
76992,100
82867,100
82869,100
83084,100
73673,100
73410,100
73415,100
73360,100
73506,100
74353,100
73643,100
73578,100
73528,100
73733,100
73935,100
74153,100
74185,100
74271,100
75692,100
75720,100
75722,100
75466,100
75484,100
75517,100
75404,100
75776,100
75927,100
75979,100
75569,100
82522,100
75859,100
75833,100
82506,100
77863,100
77895,100
77935,100
78057,100
78064,100
78101,100
78767,100
78260,100
78921,100
78929,100
78837,100
79277,100
